data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.0	0.76013	0.4741	0.63179	0.68449	0.35423	0.51192	0.68321	0.83679	0.88207	0.62962	0.70663	0.70192	0.87987	0.72056	0.20026	0.77226	0.53	0.35526	0.70538	0.35423	0.70548	0.72038	0.1891	0.52269	0.28372	0.20423	0.65692	0.25744	0.295	0.24051	0.75653	0.17038	0.20551	0.71847	0.64308	0.65843	0.64308	0.62679	0.25013	0.34218	0.28474	0.73326	0.25333	0.67088	0.75936	0.74074	0.8679	0.30846	0.77814	0.26192	0.60923	0.55962	0.25256	
D00066	0.94667	1.0	0.58683	0.81413	0.85041	0.39841	0.63365	0.76051	0.96866	0.88115	0.81438	0.76938	0.67855	0.90892	0.87956	0.26016	0.8144	0.63725	0.41159	0.8993	0.39841	0.82321	0.87302	0.24492	0.64698	0.30651	0.22127	0.8412	0.27571	0.36571	0.26794	0.91416	0.20857	0.24063	0.77647	0.83262	0.83012	0.83262	0.83867	0.29873	0.49027	0.29619	0.83293	0.30746	0.74231	0.99909	0.88444	0.9365	0.47589	0.97256	0.31333	0.77046	0.73786	0.28159	
D00067	0.77821	0.77159	1.0	0.88783	0.91892	0.389	0.97981	0.76756	0.78403	0.84138	0.895	0.751	0.71319	0.91019	0.83678	0.3162	0.75226	0.90928	0.43692	0.81141	0.389	0.81726	0.78857	0.297	0.98138	0.4006	0.3776	0.76413	0.343	0.47193	0.51435	0.8697	0.2934	0.3796	0.78612	0.88123	0.84578	0.88123	0.91973	0.4314	0.58959	0.40118	0.8237	0.3568	0.83242	0.79636	0.85309	0.8235	0.61589	0.82907	0.46333	0.83877	0.97986	0.2934	
D00075	0.81154	0.84492	0.72617	1.0	0.96892	0.407	0.809	0.76205	0.82284	0.86069	0.96719	0.74675	0.68551	0.91732	0.88911	0.2405	0.80167	0.69101	0.37017	0.87775	0.407	0.77548	0.83127	0.25667	0.79083	0.2925	0.24117	0.77547	0.28583	0.3345	0.2979	0.91634	0.20317	0.25217	0.80588	0.95231	0.85602	0.95231	0.98253	0.27133	0.49432	0.3245	0.79424	0.27133	0.77593	0.86636	0.78877	0.8697	0.43603	0.87105	0.30383	0.89015	0.90386	0.29517	
D00088	0.72333	0.70122	0.60432	0.78541	1.0	0.38284	0.63054	0.67962	0.67284	0.76149	0.82649	0.66412	0.60014	0.87994	0.86056	0.23324	0.67381	0.59757	0.38635	0.73878	0.38284	0.68298	0.69392	0.24122	0.68527	0.31243	0.24351	0.72653	0.28568	0.35162	0.27932	0.85178	0.19149	0.24851	0.72282	0.81297	0.79964	0.81297	0.8528	0.31459	0.38405	0.32324	0.73207	0.26311	0.70846	0.71405	0.68222	0.8063	0.30365	0.81977	0.29068	0.78689	0.69446	0.28973	
D00094	0.73974	0.64476	0.4472	0.61717	0.73676	1.0	0.4763	0.80936	0.65507	0.75299	0.65422	0.8055	0.7471	0.93911	0.79522	0.32191	0.81488	0.61246	0.63038	0.70056	0.98043	0.7975	0.6127	0.32426	0.55241	0.43319	0.38149	0.72533	0.42298	0.58386	0.53548	0.83356	0.23702	0.42617	0.84824	0.65923	0.7853	0.65923	0.71307	0.53193	0.69703	0.50471	0.81435	0.41191	0.78714	0.66136	0.76802	0.8404	0.6163	0.79965	0.4886	0.672	0.65586	0.45043	
D00105	0.76628	0.75683	0.90796	0.906	0.8927	0.35056	1.0	0.75564	0.77015	0.83069	0.89484	0.73288	0.68275	0.91599	0.82644	0.29352	0.76286	0.83725	0.38444	0.79958	0.35056	0.78643	0.77381	0.27574	0.98121	0.37167	0.35037	0.74067	0.33537	0.39579	0.45016	0.8605	0.27241	0.35222	0.786	0.88108	0.82349	0.88108	0.9208	0.36667	0.53608	0.37815	0.81359	0.33611	0.81429	0.78227	0.79173	0.8142	0.56164	0.80651	0.39737	0.83862	0.99543	0.2587	
D00129	0.68321	0.57397	0.41936	0.53821	0.62987	0.42385	0.45718	1.0	0.60718	0.74747	0.56538	0.81462	0.81038	0.86631	0.67467	0.22385	0.8356	0.45551	0.39641	0.60244	0.42385	0.65214	0.55731	0.23282	0.49615	0.32628	0.24795	0.55077	0.29167	0.31974	0.29256	0.71881	0.17987	0.26333	0.96271	0.55256	0.65217	0.55256	0.57551	0.31372	0.39885	0.33077	0.68	0.27577	0.64769	0.58615	0.64185	0.7548	0.32372	0.68081	0.27372	0.57846	0.52385	0.26282	
D00143	0.97359	0.91075	0.55239	0.73597	0.76959	0.36552	0.59642	0.74397	1.0	0.8831	0.73343	0.75438	0.66377	0.91529	0.81511	0.23149	0.80012	0.59449	0.38627	0.81507	0.36552	0.81988	0.82149	0.21851	0.60896	0.27507	0.21836	0.76147	0.25552	0.33209	0.25522	0.85495	0.18299	0.23627	0.76129	0.74836	0.79133	0.74836	0.75893	0.26776	0.4377	0.27761	0.83478	0.2897	0.71692	0.90985	0.8979	0.8767	0.40781	0.90302	0.28552	0.70313	0.66686	0.26537	
D00163	0.77195	0.70276	0.43736	0.56816	0.62299	0.30701	0.47126	0.64713	0.74931	1.0	0.56621	0.59402	0.54161	0.87516	0.67267	0.20172	0.6269	0.48759	0.32264	0.64586	0.30701	0.62931	0.69414	0.2023	0.48092	0.27448	0.19678	0.57736	0.26356	0.29724	0.22414	0.71257	0.16333	0.2	0.63184	0.5777	0.61138	0.5777	0.56368	0.27609	0.33747	0.28494	0.67641	0.25241	0.59615	0.7031	0.71218	0.764	0.32276	0.70046	0.25805	0.55552	0.51713	0.21724	
D00182	0.75962	0.78406	0.68281	0.90656	0.95757	0.39656	0.74328	0.73949	0.76239	0.81414	1.0	0.7225	0.65739	0.91197	0.889	0.24047	0.74143	0.63493	0.38203	0.85042	0.39656	0.7556	0.77063	0.25141	0.82094	0.31078	0.26109	0.76667	0.27703	0.32328	0.27375	0.90891	0.20547	0.27141	0.77224	0.98462	0.84699	0.98462	0.9836	0.30016	0.44568	0.31922	0.77511	0.27219	0.77582	0.80636	0.75235	0.8503	0.41192	0.86023	0.30125	0.92246	0.83414	0.305	
D00187	0.68238	0.56325	0.42137	0.51875	0.59137	0.40537	0.44363	0.82675	0.59675	0.67207	0.543	1.0	0.86387	0.84611	0.67011	0.21737	0.97607	0.468	0.40412	0.594	0.4135	0.65655	0.57437	0.20425	0.4805	0.31137	0.258	0.54763	0.27312	0.3235	0.267	0.71564	0.15487	0.273	0.86776	0.55562	0.63578	0.55562	0.56775	0.28312	0.36725	0.29862	0.70565	0.25875	0.63407	0.57512	0.6684	0.7689	0.30912	0.66198	0.27637	0.57862	0.48537	0.25512	
D00188	0.81385	0.5942	0.4571	0.55899	0.66568	0.43783	0.4829	0.92231	0.63565	0.74793	0.5871	0.99725	1.0	0.85287	0.76244	0.23319	0.97345	0.51507	0.42435	0.65366	0.44725	0.71083	0.62087	0.22058	0.52565	0.33014	0.25884	0.61987	0.30043	0.3442	0.29203	0.76455	0.17797	0.26159	0.91518	0.60014	0.72193	0.60014	0.64653	0.29739	0.44581	0.31928	0.74326	0.28377	0.72143	0.60928	0.75185	0.8264	0.37699	0.74163	0.29609	0.61087	0.52714	0.2958	
D00211	0.39178	0.32197	0.24911	0.31803	0.36713	0.25949	0.27962	0.37822	0.35306	0.44268	0.33739	0.37038	0.31529	1.0	0.44573	0.15535	0.39331	0.29975	0.26471	0.3728	0.25949	0.43548	0.33994	0.16401	0.29312	0.22236	0.18854	0.33713	0.20955	0.24554	0.21115	0.49822	0.1307	0.19484	0.42064	0.33783	0.41331	0.33783	0.38331	0.22236	0.2979	0.23197	0.46834	0.19178	0.39529	0.33503	0.39803	0.43389	0.24707	0.40408	0.22006	0.3314	0.33949	0.13892	
D00246	0.59122	0.58856	0.42478	0.58489	0.68811	0.33178	0.45756	0.54533	0.56722	0.64033	0.62789	0.56233	0.53611	0.85968	1.0	0.22278	0.59089	0.46456	0.33967	0.63267	0.33178	0.63478	0.55189	0.21122	0.50256	0.29033	0.209	0.59489	0.26333	0.31178	0.23567	0.85644	0.15922	0.22133	0.58011	0.639	0.63367	0.639	0.64789	0.29467	0.34078	0.294	0.65196	0.24411	0.54923	0.59911	0.59356	0.742	0.28267	0.766	0.23033	0.59411	0.53556	0.23867	
